>Enter w1:3
w 1:3
Joint command
     JT1       JT2       JT3       JT4       JT5       JT6       JT7  
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.000     0.000     0.000     0.000     0.000
     0.000     0.000    40.114     0.000     0.000     0.000     0.000
     0.000     0.000    41.026     0.000     0.000     0.000     0.000
     0.000     0.000    42.850     0.000     0.000     0.000     0.000
     0.000     0.000    45.587     0.000     0.000     0.000     0.000
     0.000     0.000    49.235     0.000     0.000     0.000     0.000
     0.000     0.000    53.796     0.000     0.000     0.000     0.000
     0.000     0.000    59.269     0.000     0.000     0.000     0.000
     0.000     0.000    65.653     0.000     0.000     0.000     0.000
     0.000     0.000    72.808     0.000     0.000     0.000     0.000
     0.000     0.000    79.421     0.000     0.000     0.000     0.000
     0.000     0.000    85.121     0.000     0.000     0.000     0.000
     0.000     0.000    89.910     0.000     0.000     0.000     0.000
     0.000     0.000    93.787     0.000     0.000     0.000     0.000
     0.000     0.000    96.751     0.000     0.000     0.000     0.000
STMOV R1_P1_P1
     0.000     0.000    98.803     0.000     0.000     0.000     0.000
     0.000     0.000    99.943     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.000   100.200     0.000     0.000     0.000     0.000
     0.000     0.010   100.200    -0.054     0.000    -0.025    -0.007
     0.000     0.086   100.200    -0.484     0.000    -0.224    -0.067
     0.000     0.238   100.200    -1.346     0.000    -0.621    -0.186
     0.000     0.467   100.200    -2.638     0.000    -1.217    -0.365
     0.000     0.771   100.200    -4.360     0.000    -2.012    -0.604
     0.000     1.152   100.200    -6.513     0.000    -3.006    -0.902
     0.000     1.610   100.200    -9.097     0.000    -4.199    -1.260
     0.000     2.143   100.200   -12.112     0.000    -5.590    -1.677
     0.000     2.752   100.200   -15.557     0.000    -7.180    -2.154
     0.000     3.438   100.200   -19.433     0.000    -8.969    -2.691
     0.000     4.200   100.200   -23.739     0.000   -10.957    -3.287
     0.000     5.038   100.200   -28.476     0.000   -13.143    -3.943
     0.000     5.952   100.200   -33.644     0.000   -15.528    -4.658
